Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Fibers: Cy5 Length µm	Fibers: DsRed Length µm	Fibers: EGFP Length µm	ID	Side	Parent ID	Num Detections	Num Fibers: Cy5	Num Fibers: DsRed	Num Fibers: EGFP	Area µm^2	Perimeter µm
mouse0_032.ome.tiff	80b48dc1-95de-4dfa-8b53-70c0c9d24cec	Annotation	cbf	Left: cbf	fiber tracts	Geometry	3619.2	4372.3	2851.6522	2720.489	1644.9764	960.0	0.0	1009.0	185	37	120	28	1674339.3	27521.0
mouse0_032.ome.tiff	7777146c-5b6c-4111-bdc4-33852898ab05	Annotation	arb	Left: arb	cbf	Geometry	3573.0	4274.8	7.0251	0.0	0.0	728.0	0.0	960.0	75	27	45	3	1385535.3	25488.9
mouse0_032.ome.tiff	0d961243-d1fc-475e-b0a6-46c29c8e6ce0	Annotation	cbp	Left: cbp	cbf	Geometry	3840.4	4840.4	3.1918	0.0	0.0	752.0	0.0	960.0	110	10	75	25	288804.0	6829.4
mouse0_032.ome.tiff	33dfd8b9-9036-45d7-acf6-5a4c17fe627f	Annotation	scp	Left: scp	cbp	Geometry	4008.9	4826.0	11.257	0.0	0.0	326.0	0.0	752.0	100	8	75	17	197072.7	5045.3
mouse0_032.ome.tiff	92c841cf-6eb6-4829-9382-a23f9274c577	Annotation	uf	Left: uf	scp	Polygon	4002.1	4349.1	17.8285	6.9311	28.1393	850.0	0.0	326.0	21	5	9	7	85858.5	2381.3
mouse0_032.ome.tiff	d8841cd8-47b5-4091-b3f5-12d5d3186fdd	Annotation	sctv	Left: sctv	scp	Polygon	3884.4	6838.8	60.944	210.1473	2194.5403	866.0	0.0	326.0	0	0	0	0	36453.6	1124.8
mouse0_032.ome.tiff	64c43bc0-c693-4d25-9165-6c6f4d13544b	Annotation	icp	Left: icp	cbp	Geometry	3478.4	4871.1	6.0627	104.653	222.6234	1123.0	0.0	752.0	10	2	0	8	91731.3	2062.3
mouse0_032.ome.tiff	d566d84b-9e90-4242-9bc3-0430b3268a83	Annotation	cm	Left: cm	fiber tracts	Geometry	3965.2	6213.1	0.0	0.0	0.0	967.0	0.0	1009.0	1256	84	234	938	687170.7	11490.8
mouse0_032.ome.tiff	615ce589-2b78-4989-8812-07bc0d960fa4	Annotation	Vn	Left: Vn	cm	Polygon	3461.4	6207.9	25.7609	0.0	0.0	901.0	0.0	967.0	8	8	0	0	335792.8	3333.2
mouse0_032.ome.tiff	38fa1b11-83bc-4b84-99b3-d59f9b0ac5f8	Annotation	sV	Left: sV	Vn	Polygon	3461.4	6207.9	184.5111	0.0	85.4178	229.0	0.0	901.0	8	8	0	0	335792.8	3333.2
mouse0_032.ome.tiff	d47e94ca-fb82-4f01-96fd-69adc41d6858	Annotation	sptV	Left: sptV	sV	Polygon	3461.4	6207.9	0.0	34.3799	0.0	794.0	0.0	229.0	8	8	0	0	335792.8	3333.2
mouse0_032.ome.tiff	e0ed4f33-4a4b-44bb-90f1-56306931c053	Annotation	drt	Left: drt	cm	Polygon	5556.8	6481.9	20.6117	0.0	0.0	792.0	0.0	967.0	418	1	18	399	36797.7	726.4
mouse0_032.ome.tiff	3c97a778-24db-492b-a63b-f6de4b527899	Annotation	cett	Left: cett	drt	Polygon	5556.8	6481.9	6.9311	4.287	0.0	932.0	0.0	792.0	418	1	18	399	36797.7	726.4
mouse0_032.ome.tiff	b9addfbc-f809-46f0-80ff-73de067afbbf	Annotation	ml	Left: ml	cett	Polygon	5556.8	6481.9	1.3221	0.0	0.0	697.0	0.0	932.0	418	1	18	399	36797.7	726.4
mouse0_032.ome.tiff	dd589e8a-9a40-43b9-9820-7f4314f80679	Annotation	VIIn	Left: VIIn	cm	Geometry	4488.3	5846.2	0.0	0.0	0.0	798.0	0.0	967.0	244	62	162	20	54460.7	1926.3
mouse0_032.ome.tiff	dd49416d-9325-4a6f-8312-66521dc9611c	Annotation	gVIIn	Left: gVIIn	VIIn	Polygon	4867.3	5110.6	183.189	0.0	85.4178	1116.0	0.0	798.0	0	0	0	0	361.7	114.39
mouse0_032.ome.tiff	3111120b-9809-49c1-a0d6-505745f9d940	Annotation	VIIIn	Left: VIIIn	cm	Geometry	4237.4	6302.0	17.9614	0.0	0.0	933.0	0.0	967.0	585	13	54	518	249948.5	7554.3
mouse0_032.ome.tiff	7f0d7c24-46a9-4e6a-8ccd-ad8c966d4444	Annotation	vVIIIn	Left: vVIIIn	VIIIn	Geometry	3166.7	5907.5	496.2217	1349.5433	298.7027	413.0	0.0	933.0	5	4	1	0	121655.3	2392.7
mouse0_032.ome.tiff	11f960bd-4805-4c21-9ce2-16062dccab06	Annotation	cVIIIn	Left: cVIIIn	VIIIn	Geometry	5252.7	6676.0	34.0371	331.0503	127.1026	948.0	0.0	933.0	580	9	53	518	128293.2	5161.5
mouse0_032.ome.tiff	ee36771c-1c83-4ad0-99fc-d633ed7d6502	Annotation	tb	Left: tb	cVIIIn	Geometry	5252.7	6676.0	0.0	12.9199	5.9204	841.0	0.0	948.0	580	9	53	518	128293.2	5161.5
mouse0_032.ome.tiff	9e5a2b88-cbd2-4ad4-a468-b49b0dd3c46c	Annotation	IIIn	Left: IIIn	cm	Polygon	5344.8	5191.5	34.9765	0.0	0.0	832.0	0.0	967.0	1	0	0	1	10171.0	399.64
mouse0_032.ome.tiff	127f4f15-f319-461e-8731-05d3426cc5a4	Annotation	mlf	Left: mlf	IIIn	Polygon	5344.8	5191.5	1.0952	36.1509	0.0	62.0	0.0	832.0	1	0	0	1	10171.0	399.64
mouse0_032.ome.tiff	1473dc32-2373-4a4f-aaf6-bef64897a136	Annotation	lfbs	Left: lfbs	fiber tracts	Polygon	5411.7	6735.6	806.9817	4768.1176	5683.3205	983.0	0.0	1009.0	33	3	8	22	67330.1	1146.1
mouse0_032.ome.tiff	d273a075-bade-42bf-8212-5589dcfd04d9	Annotation	cst	Left: cst	lfbs	Polygon	5411.7	6735.6	12.2194	0.0	0.0	784.0	0.0	983.0	33	3	8	22	67330.1	1146.1
mouse0_032.ome.tiff	9801f8f3-89e0-4088-b2bd-cc29b6824890	Annotation	py	Left: py	cst	Polygon	5411.7	6735.6	7.2519	32.9578	121.021	190.0	0.0	784.0	33	3	8	22	67330.1	1146.1
mouse0_032.ome.tiff	3ad51820-a489-42cc-bc0d-a3e83f70cb21	Annotation	eps	Left: eps	fiber tracts	Geometry	4665.6	6120.5	114.7617	839.9655	1184.3281	1000.0	0.0	1009.0	431	38	175	218	126257.4	2412.0
mouse0_032.ome.tiff	4651282b-1ef5-4693-af97-462c096ee2ce	Annotation	rust	Left: rust	eps	Polygon	4034.8	6614.1	1.3221	0.0	0.0	863.0	0.0	1000.0	23	11	11	1	64632.5	1219.8
mouse0_032.ome.tiff	a7015453-2a3b-47b8-a198-b62a7a1ffcbf	Annotation	tsp	Left: tsp	eps	Polygon	5327.2	5602.9	17.4137	0.0	0.0	877.0	0.0	1000.0	408	27	164	217	61624.9	1192.2
mouse0_032.ome.tiff	58d19ac9-ed05-42c3-9e4b-f7fb663cad15	Annotation	tspc	Left: tspc	tsp	Polygon	5327.2	5602.9	0.0	0.0	0.0	1043.0	0.0	877.0	408	27	164	217	61624.9	1192.2
