Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Fibers: EGFP area µm^2	Fibers: DsRed area µm^2	ID	Side	Parent ID	Area µm^2	Perimeter µm
animalid1-SC_s1.ome.tiff	263eb5cd-374c-4c81-a3e2-d9d539f584a2	Annotation	dcs	Left: dcs	df	Polygon	1502.2	618.75	132.03	16.2	62	0	74	28839	666.58
animalid1-SC_s1.ome.tiff	20d2aac5-e90c-4b9b-8315-5456bbddf77c	Annotation	gr	Left: gr	df	Polygon	1478	312.56	109.755	20.8575	63	0	74	25731.2	749.62
animalid1-SC_s1.ome.tiff	aa1c9f00-4b76-4d5f-b4eb-1165569146fa	Annotation	lfc	Left: lfc	WM	Geometry	2214.8	1203.1	11544.3223	1596.915	75	0	130	453831.3	4364.1
animalid1-SC_s1.ome.tiff	05067939-5c13-439b-b588-95731420cca0	Annotation	lf	Left: lf	lfc	Polygon	2198.8	1348.7	9187.6279	1306.53	65	0	75	321913.7	2572.5
animalid1-SC_s1.ome.tiff	fb4aa1d7-308b-4c40-b4b4-e234f879d797	Annotation	dl	Left: dl	lfc	Geometry	2093.2	486.42	359.0325	46.17	66	0	75	22507.5	1612.7
animalid1-SC_s1.ome.tiff	d92c9cce-5145-454a-8406-4cc7cfd1a6ca	Annotation	LatC	Left: LatC	lfc	Polygon	2393.4	879.13	430.3125	58.725	67	0	75	27640.3	680.64
animalid1-SC_s1.ome.tiff	da3854b0-5f0d-40c6-911d-86c9f9da7467	Annotation	LSp	Left: LSp	lfc	Polygon	2137.9	866.21	840.9825	96.9975	68	0	75	46911.4	988.23
animalid1-SC_s1.ome.tiff	9f5dd34e-4c47-4c32-b276-487b23daa305	Annotation	rs	Left: rs	lfc	Polygon	2402.4	1031.4	726.3675	88.4925	69	0	75	34858.4	763.22
animalid1-SC_s1.ome.tiff	895d36b3-5963-4712-8a18-f64c70ee9561	Annotation	GM	Left: GM	root	Polygon	1791.5	977.39	39236.8047	5623.02	71	0	250	673260.8	3828.4
animalid1-SC_s1.ome.tiff	b575536b-083f-453e-b8e9-620f8d7c7df5	Annotation	DH	Left: DH	GM	Polygon	1914.6	669.75	3810.645	755.1225	90	0	71	273039.4	2804.5
animalid1-SC_s1.ome.tiff	25e87127-12ec-4c89-9ccf-4eb98534236d	Annotation	1Sp	Left: 1Sp	DH	Polygon	2183.3	578.19	68.6475	29.7675	1	0	90	12436.9	1348.6
animalid1-SC_s1.ome.tiff	fe2f9421-66ab-4d4a-b36b-2a9eb6d67f01	Annotation	2Ssp	Left: 2Ssp	DH	Polygon	2133.1	568.45	221.13	41.1075	2	0	90	17528.4	1375.7
animalid1-SC_s1.ome.tiff	8015b735-c16a-466c-a0af-412bb5642fea	Annotation	2Spl	Left: 2Spl	DH	Polygon	2120.4	602.1	191.565	63.7875	3	0	90	20711	1441.8
animalid1-SC_s1.ome.tiff	0b17d2a9-7703-4a82-b997-6372115da7d7	Annotation	3Sp	Left: 3Sp	DH	Polygon	2040.7	597.03	497.5425	165.8475	4	0	90	45836.5	1373
animalid1-SC_s1.ome.tiff	0f9d402b-4160-4b4e-a56d-4ffa19d8eb8d	Annotation	4Sp	Left: 4Sp	DH	Geometry	1858.7	630.59	807.975	198.045	5	0	90	67766.6	2134.6
animalid1-SC_s1.ome.tiff	c9117247-2bb5-4f0a-91f8-814f4353de97	Annotation	IB	Left: IB	DH	Polygon	1680.3	598.51	52.8525	9.72	6	0	90	6723.5	310.39
animalid1-SC_s1.ome.tiff	dfcee016-31a9-4fcd-a6a3-78d828ac941f	Annotation	5SpL	Left: 5SpL	DH	Polygon	1856.7	769.83	1504.3726	172.3275	8	0	90	71861.3	1025
animalid1-SC_s1.ome.tiff	6ea23054-b88c-4bad-ad0e-1dff943c0735	Annotation	5SpM	Left: 5SpM	DH	Polygon	1657.7	789.05	455.4225	72.2925	9	0	90	30013	1048.6
animalid1-SC_s1.ome.tiff	77e1bae4-ff5f-45ce-852f-ab413aff85fe	Annotation	C	Left: C	GM	Polygon	1440.1	974.67	1884.0601	377.2575	100	0	71	31478.4	962.18
animalid1-SC_s1.ome.tiff	ea515f50-b1d2-449a-8a70-c3b47f20a61e	Annotation	10Sp	Left: 10Sp	C	Polygon	1440	974.26	1878.1875	376.65	14	0	100	31321.1	962.87
animalid1-SC_s1.ome.tiff	2f9fcc51-f851-4e45-8e98-1467d57cb26f	Annotation	CC	Left: CC	C	Polygon	1398.7	1025.6	0	0	16	0	100	42.3	53.9
animalid1-SC_s1.ome.tiff	6053adc8-4daa-47b0-a934-9f3476af09fb	Annotation	VH	Left: VH	GM	Geometry	1730.2	1205.4	33546.7578	4491.0449	110	0	71	368768.9	2811
animalid1-SC_s1.ome.tiff	0976a7e1-fce6-46bd-a921-131bfc0606ac	Annotation	7Sp	Left: 7Sp	VH	Polygon	1782.3	1089.5	12849.8398	1884.0601	18	0	110	181987.9	1907.9
animalid1-SC_s1.ome.tiff	16b404d1-38ce-4279-af2a-629168906263	Annotation	CeCv	Left: CeCv	VH	Polygon	1573.2	862.11	383.3325	37.8675	19	0	110	20095.4	539.25
animalid1-SC_s1.ome.tiff	c9e4d3fd-10aa-405b-9cf6-113606897dda	Annotation	IMM	Left: IMM	VH	Polygon	1511	756.78	18.4275	5.67	22	0	110	6201.6	299.07
animalid1-SC_s1.ome.tiff	03a174f2-f630-4b3e-b1fc-2a3bc24419d3	Annotation	IMM4	Left: IMM4	IMM	Polygon	1493.3	742.2	0.2025	5.67	224	0	22	1775.2	221.24
animalid1-SC_s1.ome.tiff	c212422d-0b0f-4422-8898-4549a4aa5de5	Annotation	IMM5	Left: IMM5	IMM	Polygon	1518.1	762.63	18.225	0	225	0	22	4426.4	284.68
animalid1-SC_s1.ome.tiff	bbd64b4f-50e1-4b48-a343-15601b106e27	Annotation	8Sp	Left: 8Sp	VH	Polygon	1711.6	1362.1	14386.8154	1840.1176	26	0	110	104936.2	2058.6
animalid1-SC_s1.ome.tiff	5aaf3850-aa77-42a6-8df6-399cb0355e73	Annotation	MN	Left: MN	VH	Geometry	1675.9	1463	5908.3423	723.33	120	0	110	55547.8	1652.2
animalid1-SC_s1.ome.tiff	50c9adbe-5ee6-4973-92ae-17f89f8c0167	Annotation	Ax9	Left: Ax9	MN	Polygon	1513.4	1274.1	861.03	76.95	29	0	120	9684.3	416.64
animalid1-SC_s1.ome.tiff	b75e96d9-68ce-4cc4-b3fa-47360e260901	Annotation	IH9	Left: IH9	MN	Polygon	1632.6	1546.6	3291.4351	280.0575	42	0	120	29824.1	643.04
animalid1-SC_s1.ome.tiff	76e04471-4a27-4018-8ab2-af636b9736ce	Annotation	Ph9	Left: Ph9	MN	Polygon	1734.1	1464.4	388.395	22.8825	48	0	120	4224.2	253.91
animalid1-SC_s1.ome.tiff	01edc065-1e12-4903-9c3c-58f6004aae8e	Annotation	TzSM9	Left: TzSM9	MN	Polygon	1897.4	1406.5	1367.4825	343.44	60	0	120	11815.2	415.48
animalid1-SC_s2.ome.tiff	1adff602-a2be-436d-878e-e34be5ea33ea	Annotation	Root		Root object (Image)	Geometry	1404.1	1048.3	105061.4531	13393.957				3255524.3	9854
animalid1-SC_s2.ome.tiff	99fbc882-4cbb-479f-943c-85118f6a35ff	Annotation	root	Right: root	Root	Polygon	883.98	1031.2	36915.5469	5074.2451	250	0		1650831.7	4939.4
animalid1-SC_s2.ome.tiff	cce4ba67-7d79-4291-8624-1d9a6a837791	Annotation	WM	Right: WM	root	Geometry	819.63	1145.1	15226.1777	2659.635	130	0	250	929746.5	8049.5
animalid1-SC_s2.ome.tiff	26630c56-c942-451c-b9d2-b6a25a643477	Annotation	vf	Right: vf	WM	Polygon	1074.8	1590.3	6145.2676	621.0675	70	0	130	308862.1	2841.4
animalid1-SC_s2.ome.tiff	e38cf8aa-94dd-4857-8388-13ddb105417b	Annotation	df	Right: df	WM	Polygon	1254.1	404.32	1643.49	1018.575	74	0	130	149721.1	1646.6
animalid1-SC_s2.ome.tiff	4e549305-c8c4-489d-adf6-4e30c643ea10	Annotation	psdc	Right: psdc	df	Polygon	1318.7	375.35	181.6425	79.38	64	0	74	17100.8	871.79
animalid1-SC_s2.ome.tiff	78bf3701-2cec-4c5d-ad6f-42634a68bcc0	Annotation	cu	Right: cu	df	Geometry	1156.9	374.28	919.5525	747.4275	61	0	74	70158	1198.6
animalid1-SC_s2.ome.tiff	df206824-ac2d-4a1f-a431-97c0dac223cf	Annotation	dcs	Right: dcs	df	Polygon	1329.9	581.84	305.37	54.8775	62	0	74	32187.9	725.79
animalid1-SC_s2.ome.tiff	0580b1dc-cd78-4b90-974c-b077e6baa716	Annotation	gr	Right: gr	df	Polygon	1362.2	300.47	236.925	136.89	63	0	74	30294.7	797.4
animalid1-SC_s2.ome.tiff	bb680646-f519-4fa3-8b55-5783777505e4	Annotation	lfc	Right: lfc	WM	Geometry	514.07	1088.8	7422.6377	1015.5375	75	0	130	470928.1	4456.7
animalid1-SC_s2.ome.tiff	f44622c8-4188-4718-a41f-f201b05240a5	Annotation	lf	Right: lf	lfc	Polygon	522.76	1251.2	4754.2949	562.95	65	0	75	320455.5	2567.8
animalid1-SC_s2.ome.tiff	80aaa15c-06af-4adc-9f66-7678b37b049d	Annotation	dl	Right: dl	lfc	Geometry	658.72	381.93	610.74	261.0225	66	0	75	25052	1690.1
animalid1-SC_s2.ome.tiff	9212cc0f-701a-4d73-813a-4c2e280bd27d	Annotation	LatC	Right: LatC	lfc	Polygon	346.08	760.63	326.43	29.3625	67	0	75	31829.5	719.63
animalid1-SC_s2.ome.tiff	1523b1a3-b654-4838-922d-4139b0346c3c	Annotation	LSp	Right: LSp	lfc	Polygon	618.02	763.74	1119.015	88.0875	68	0	75	53833.4	1047.8
animalid1-SC_s2.ome.tiff	f3e875db-1f15-4889-baf3-b52c092264af	Annotation	rs	Right: rs	lfc	Polygon	346.54	927.52	612.1575	74.115	69	0	75	39757.6	802.57
animalid1-SC_s2.ome.tiff	dd5997aa-91ad-4906-be83-558c743d844c	Annotation	GM	Right: GM	root	Polygon	967.05	883.77	21703.1406	2422.71	71	0	250	721090.5	3972.4
animalid1-SC_s2.ome.tiff	93232429-416c-4eb5-9ebb-728af837222c	Annotation	DH	Right: DH	GM	Polygon	856.08	581.45	6387.6602	1496.2725	90	0	71	305394.9	3021.5
animalid1-SC_s2.ome.tiff	7bf379d5-48bd-4085-8b7a-5afe94bce766	Annotation	1Sp	Right: 1Sp	DH	Polygon	557.04	462.89	426.2625	135.4725	1	0	90	14038.4	1414.9
animalid1-SC_s2.ome.tiff	eefcabd0-a3b8-47dc-a4f2-84f0c6955969	Annotation	2Ssp	Right: 2Ssp	DH	Polygon	612.92	458.94	721.5075	181.035	2	0	90	19887.6	1448
animalid1-SC_s2.ome.tiff	6200845d-c0aa-410e-a8ba-79fa3351c18f	Annotation	2Spl	Right: 2Spl	DH	Polygon	627.43	495.21	703.2825	186.0975	3	0	90	23704.9	1527.7
animalid1-SC_s2.ome.tiff	9adb4ab5-34a3-4c3c-b574-dd6f714862ae	Annotation	3Sp	Right: 3Sp	DH	Polygon	716.47	498.68	1384.29	550.8	4	0	90	52522.8	1461.1
animalid1-SC_s2.ome.tiff	5ce6b5e6-eada-432e-bfec-278018be8c74	Annotation	4Sp	Right: 4Sp	DH	Geometry	920.15	550.63	770.9175	249.48	5	0	90	75964.6	2342.7
animalid1-SC_s2.ome.tiff	bb720bc0-ec17-4f93-8212-31d42e2f338a	Annotation	IB	Right: IB	DH	Polygon	1127.1	538.91	60.345	37.665	6	0	90	7217.7	329.35
animalid1-SC_s2.ome.tiff	c2716902-0824-4427-8aec-db7f56524cc0	Annotation	5SpL	Right: 5SpL	DH	Polygon	925.68	687.91	1859.1525	114.0075	8	0	90	79733.5	1079.2
