Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Cells: marker+ Count	Cells: marker- Count	ID	Side	Parent ID	Num Detections	Num Cells: marker+	Num Cells: marker-	Area µm^2	Perimeter µm
animalid0_034.ome.tiff	03782f84-8edd-44ad-ae28-88a17f89409f	Annotation	cst	Right: cst	lfbs	Polygon	5864.8	6134.1	0	0	784	0	983	1	0	1	47266.7	953.74
animalid0_034.ome.tiff	0f86f653-bb76-4dae-8046-b998622917d5	Annotation	py	Right: py	cst	Polygon	5864.8	6134.1	0	1	190	0	784	1	0	1	47266.7	953.74
animalid0_034.ome.tiff	3be0200c-49b4-4db0-9fd5-63b0a7de1faf	Annotation	eps	Right: eps	fiber tracts	Geometry	6378.6	5545.1	0	0	1000	0	1009	4	0	4	61533.1	1624.6
animalid0_034.ome.tiff	c9c9a9ec-e1b6-407a-af87-c86cf0752292	Annotation	rust	Right: rust	eps	Polygon	7031.8	5883	0	1	863	0	1000	1	0	1	27437	772.4
animalid0_034.ome.tiff	0be924a5-f8d9-42f0-a051-d40a2c31af32	Annotation	tsp	Right: tsp	eps	Polygon	5853	5273.1	0	0	877	0	1000	3	0	3	34096.1	852.15
animalid0_034.ome.tiff	1c8ff8a0-4136-4b06-be9f-e9e08c395e5d	Annotation	tspc	Right: tspc	tsp	Polygon	5853	5273.1	0	3	1043	0	877	3	0	3	34096.1	852.15
animalid0_034.ome.tiff	6ccc21b9-06a3-4288-93ef-06cb42261c1b	Annotation	root	Left: root	Root	Polygon	3859.6	3636.8	0	0	997	0		826	24	802	14793273.7	17611.7
animalid0_034.ome.tiff	680196bb-9b32-424d-911d-175a0eb31ffc	Annotation	grey	Left: grey	root	Geometry	3762.8	3721.7	0	0	8	0	997	647	17	630	10522036.2	46363.2
animalid0_034.ome.tiff	19490b7b-65e8-4b48-8465-5646b344e05b	Annotation	CB	Left: CB	grey	Geometry	3527	2843.7	0	3	512	0	8	368	5	363	7606481.9	38344.5
animalid0_034.ome.tiff	bcee345a-aca4-4901-af87-90d5b917f0a9	Annotation	CBN	Left: CBN	CB	Polygon	3206.9	3704.1	0	0	519	0	512	0	0	0	35209.4	758.98
animalid0_034.ome.tiff	24a5e1f0-8bc6-4e1b-8899-c50c9d459783	Annotation	DN	Left: DN	CBN	Polygon	3206.9	3704.1	0	0	846	0	519	0	0	0	35209.4	758.98
animalid0_034.ome.tiff	81a2d576-40dd-45d7-bd44-3abdfd43ddb6	Annotation	CBX	Left: CBX	CB	Geometry	3525.7	2832.6	0	0	528	0	512	365	5	360	7521595.6	34213.3
animalid0_034.ome.tiff	e79921ae-4ccf-47db-8797-08cfb1f60237	Annotation	VERM	Left: VERM	CBX	Geometry	4633.4	2254.5	0	0	645	0	528	86	1	85	3118183	15566.5
animalid0_034.ome.tiff	a0ea1923-4372-41ec-9299-500e488c252c	Annotation	LING	Left: LING	VERM	Polygon	5199.3	3662.7	0	0	912	0	645	0	0	0	15393.4	718.82
animalid0_034.ome.tiff	cce309ad-488c-4f88-ae76-164145909d91	Annotation	CENT	Left: CENT	VERM	Geometry	4850.5	2911.8	0	0	920	0	645	56	1	55	1006116.3	7651.7
animalid0_034.ome.tiff	416c1770-97c3-499b-a03f-46be780d08e2	Annotation	CENT2	Left: CENT2	CENT	Geometry	5004.9	3389.6	0	18	976	0	920	18	0	18	291564.2	3606.2
animalid0_034.ome.tiff	7b80878c-8d8e-4082-95f2-75ab189cdbf2	Annotation	CENT3	Left: CENT3	CENT	Geometry	4787.5	2716.9	1	37	984	0	920	38	1	37	714552.1	5470.8
animalid0_034.ome.tiff	fa6af5ad-dab3-4f96-82b0-42d11a6a0247	Annotation	CUL	Left: CUL	VERM	Geometry	4436.7	2185.8	0	0	928	0	645	28	0	28	1445568.2	10271.9
animalid0_034.ome.tiff	be54170d-0b36-497f-ae91-b0b2ebaebbe6	Annotation	CUL4, 5	Left: CUL4, 5	CUL	Geometry	4436.7	2185.8	0	28	1091	0	928	28	0	28	1445568.2	10271.9
animalid0_034.ome.tiff	468be762-43d9-4a2a-a5ba-bcdec95623e4	Annotation	DEC	Left: DEC	VERM	Geometry	4721.2	1358.2	0	2	936	0	645	2	0	2	651107.4	3870.4
animalid0_034.ome.tiff	47c79262-9ab5-4830-a650-676e6de40373	Annotation	HEM	Left: HEM	CBX	Polygon	2741.4	3242	0	0	1073	0	528	279	4	275	4403412.6	22931.5
animalid0_034.ome.tiff	8da315e2-6dac-413c-8362-3eebbba2fa6e	Annotation	COPY	Left: COPY	HEM	Polygon	2804.9	3797.9	0	1	1033	0	1073	1	0	1	19277.2	749
animalid0_034.ome.tiff	81b8d4e5-d08a-4b5d-b7ab-903821d08a68	Annotation	PFL	Left: PFL	HEM	Polygon	2208.2	4225	0	81	1041	0	1073	81	0	81	1177338.8	7390
animalid0_034.ome.tiff	f56bd1c2-6380-410f-a1c1-a9d76f31543c	Annotation	FL	Left: FL	HEM	Polygon	2845.5	4808.8	0	90	1049	0	1073	90	0	90	614382	3839.6
animalid0_034.ome.tiff	ed436e12-c1a6-4e97-9edb-7b94a590a89c	Annotation	SIM	Left: SIM	HEM	Geometry	3566.9	2041.7	0	13	1007	0	1073	13	0	13	951108.3	8034
animalid0_034.ome.tiff	00f63ff3-7c53-467f-ac0a-02a30b61e437	Annotation	AN	Left: AN	HEM	Polygon	2605.7	2639.3	0	0	1017	0	1073	94	4	90	1641306.3	8952.3
animalid0_034.ome.tiff	dd1a347d-f78e-4933-9f9c-eb912bf2c791	Annotation	ANcr1	Left: ANcr1	AN	Polygon	2605.7	2639.3	4	90	1056	0	1017	94	4	90	1641306.3	8952.3
animalid0_034.ome.tiff	31c62161-0cce-4946-ad97-7c48dd09b282	Annotation	BS	Left: BS	grey	Geometry	4472.6	4911.2	0	0	343	0	8	323	13	310	4301497.2	18771
animalid0_034.ome.tiff	3a972b0e-4092-4786-a0cb-23640e0e7746	Annotation	HB	Left: HB	BS	Geometry	4472.6	4911.2	0	0	1065	0	343	323	13	310	4301469.1	18803.9
animalid0_034.ome.tiff	0e22b07a-b526-4d4d-ba5f-6e399a389183	Annotation	P	Left: P	HB	Geometry	4571.8	4900.9	3	45	771	0	1065	303	10	293	3633117.2	16658.1
animalid0_034.ome.tiff	98fae7d0-25cb-4217-ad06-13a834419ef9	Annotation	P-mot	Left: P-mot	P	Geometry	4796.7	4879.9	0	0	987	0	771	164	6	158	1721837.2	10944.6
animalid0_034.ome.tiff	1490127c-ab8c-473e-8bb1-0612047e6ba7	Annotation	PCG	Left: PCG	P-mot	Geometry	4954	4151.1	1	57	898	0	987	58	1	57	490974.8	4944.8
animalid0_034.ome.tiff	a3c8b948-bb30-4158-ab01-599f6021f405	Annotation	P5	Left: P5	P-mot	Polygon	4322.6	5120.5	0	6	549009215	0	987	6	0	6	68709.8	1163.9
animalid0_034.ome.tiff	3a85505f-7218-4cef-a604-966fc4942818	Annotation	PDTg	Left: PDTg	P-mot	Polygon	5190.4	4365.7	0	2	599626927	0	987	2	0	2	132070	1307.2
animalid0_034.ome.tiff	ba2986c8-8704-4a4a-b5b9-4e41adc08a6a	Annotation	B	Left: B	P-mot	Polygon	4541.9	4228.4	0	1	280	0	987	1	0	1	14343.3	487.7
animalid0_034.ome.tiff	9a7c7dc3-f100-4055-bae1-a55bd8393b71	Annotation	PRNc	Left: PRNc	P-mot	Geometry	4837	5340.4	4	83	1093	0	987	87	4	83	835382.9	5094.1
animalid0_034.ome.tiff	d67747df-a65d-46e6-9d19-99410e0fe0b9	Annotation	V	Left: V	P-mot	Polygon	4105.7	5040	1	6	621	0	987	7	1	6	136029.2	1586.9
animalid0_034.ome.tiff	863bdcc1-211f-41a5-aaa1-4678e5926cff	Annotation	I5	Left: I5	P-mot	Polygon	3942.3	5032.7	0	0	549009227	0	987	0	0	0	26050.4	904.93
animalid0_034.ome.tiff	62d69237-dc67-4590-9ce0-9ac3a254cfdb	Annotation	Acs5	Left: Acs5	P-mot	Polygon	4400.5	5273.3	0	1	549009219	0	987	1	0	1	6616.9	299.89
animalid0_034.ome.tiff	9bef98d3-5b87-4781-8da2-72dcc99eff49	Annotation	PC5	Left: PC5	P-mot	Polygon	4104.9	5370.3	0	2	549009223	0	987	2	0	2	11477.3	463.54
animalid0_034.ome.tiff	6d259987-f0b3-4d5d-b888-5875fd41adf6	Annotation	P-sat	Left: P-sat	P	Geometry	4938.4	4586.3	0	1	1117	0	771	56	0	56	383652.8	5108.1
